Grid Number,ElfNumber,x.gridmidpoint_utm,y.gridmidpoint_utm, x.actualsamplelocation_utm, y.actualsamplelocation_utm,Distance_m_ToNearest Eldoea,Lake Location,Strata,SampledIn2018
5,7.Shore,468537.8668,7187611.662,468538.672,7187612.948,16.40152108,North,<50mShoreline,yes
19,19.Deep,468525.3668,7187599.162,468525.0893,7187608.409,7.312059959,North,<50mShoreline,no
20,8.Deep,468537.8668,7187599.162,468537.8463,7187597.576,11.43514994,North,<50mShoreline,no
21,6.Shore,468550.3668,7187599.162,468550.5169,7187610.261,25.08837962,North,<50mShoreline,no
22,5.Shore,468562.8668,7187599.162,468562.0223,7187606.908,35.40094979,North,<50mShoreline,yes
33,9.Shore,468512.8668,7187586.662,468507.125,7187589.093,23.40865041,North,<50mShoreline,yes
36,7.Deep,468550.3668,7187586.662,468550.8714,7187594.208,24.86650159,North,<50mOffShore,no
38,4.Shore,468575.3668,7187586.662,468575.7941,7187597.737,48.87140931,North,>50mShoreline,yes
48,10.shore,468512.8668,7187574.162,468497.3804,7187570.137,43.08217355,North,<50mShoreline,no
49,6.Deep,468525.3668,7187574.162,468524.5907,7187569.852,31.61168226,North,<50mOffShore,no
50,5.Deep,468537.8668,7187574.162,468542.0137,7187532.89,70.09119358,North,<50mOffShore,no
51,4.Deep,468550.3668,7187574.162,468546.131,7187563.274,42.60166141,North,<50mOffShore,no
54,3.Shore,468587.8668,7187574.162,468583.1783,7187586.291,58.11018224,North,>50mShoreline,yes
62,12.shore,468500.3668,7187561.662,468495.8994,7187560.233,51.60285207,North,<50mShoreline,yes
63,2.Deep,468512.8668,7187561.662,468510.8509,7187559.408,44.98057132,North,<50mOffShore,no
66,3.Deep,468550.3668,7187561.662,468556.8701,7187545.663,63.17989048,North,<50mOffShore,no
77,11.shore,468500.3668,7187549.162,468494.8002,7187545.979,64.09707442,North,>50mShoreline,yes
86,2.Shore,468612.8668,7187549.162,468612.0838,7187557.346,95.74594156,North,>50mShoreline,yes
107,13.shore,468500.3668,7187524.162,468493.8216,7187520.578,87.35886945,North,>50mShoreline,yes
117,1.Shore,468625.3668,7187524.162,468624.8991,7187542.946,113.9557135,North,>50mShoreline,yes
376,14.shore,468487.8668,7187299.162,468484.2694,7187293.426,103.2129394,South,>50mShoreline,yes
399,10.deep,468587.8668,7187286.662,468584.7025,7187286.691,47.61159267,South,<50mOffShore,no
406,15.shore,468487.8668,7187274.162,468482.9334,7187274.716,96.24671773,South,>50mShoreline,yes
415,11.deep,468600.3668,7187274.162,468601.916,7187274.92,44.96132284,South,<50mOffShore,no
427,13.deep,468562.8668,7187261.662,468565.7114,7187264.71,25.20088712,South,<50mOffShore,no
439,14.deep,468525.3668,7187249.162,468528.693,7187249.383,45.09431475,South,<50mOffShore,no
440,15.deep,468537.8668,7187249.162,468537.3853,7187249.403,36.61443375,South,<50mOffShore,no
453,16.shore,468512.8668,7187236.662,468509.593,7187235.205,63.54918125,South,<50mShoreline,yes
454,17.shore,468525.3668,7187236.662,468522.1249,7187229.947,51.88836288,South,<50mShoreline,no
455,18.shore,468537.8668,7187236.662,468535.0616,7187231.595,38.90188191,South,<50mShoreline,yes
456,19.shore,468550.3668,7187236.662,468550.219,7187236.675,23.02740179,South,<50mShoreline,no
457,20.shore,468562.8668,7187236.662,468556.8761,7187237.385,16.35133388,South,<50mShoreline,yes
458,1m,468575.3668,7187236.662,468564.6661,7187237.415,8.829440907,South,<50mShoreline,no
460,16.deep,468600.3668,7187236.662,468598.2722,7187235.281,25.90009696,South,<50mOffShore,no
464,12.deep,468650.3668,7187236.662,468649.7464,7187243.103,76.87232622,South,>50mShoreline,yes
473,21.shore,468575.3668,7187224.162,468567.189,7187237.946,6.295829796,South,<50mShoreline,yes
475,17.deep,468600.3668,7187224.162,468596.3372,7187222.818,29.3828423,South,<50mOffShore,no
488,22.shore,468575.3668,7187211.662,468567.8651,7187211.748,29.2527816,South,<50mShoreline,no
503,23.shore,468575.3668,7187199.162,468574.1358,7187198.196,42.38226988,South,<50mShoreline,yes
507,24.shore,468625.3668,7187199.162,468625.5628,7187196.879,68.40892825,South,>50mShoreline,yes
1m from north Elodea,1m_NorthElodea,468527.1,7187600,468527.1,7187600,1,North,<50mShoreline,no
3meters from North elodea,3m_NorthElodea,468527.1,7187598,468527.1,7187598,3,North,<50mShoreline,no
5 meters from North elodea,5m_NorthElodea,468527.1,7187594,468527.1,7187594,5,North,<50mShoreline,no
1m from south Elodea,1m_SouthElodea,468572.1,7187242,468572.1,7187242,1,South,<50mShoreline,no
3m from south Elodea,3m_SouthElodea,468572.1,7187244,468572.1,7187244,3,South,<50mShoreline,no
5m from south Elodea,5m_SouthElodea,468572.1,7187246,468572.1,7187246,5,South,<50mShoreline,no
North Elodea Bucket,NA,468527.1,7187601,468527.1,7187601,0,North,<50mShoreline,no
South Elodea Bucket,NA,468572.1,7187241,468572.1,7187241,0,South,<50mShoreline,no
